price,brand,model,year,title_status,mileage,color,vin,lot,state,full_model
6300,toyota,cruiser,2008,clean vehicle,274117,black,  jtezu11f88k007763,159348797,new jersey,toyota cruiser
2899,ford,se,2011,clean vehicle,190552,silver,  2fmdk3gc4bbb02217,166951262,tennessee,ford se
5350,dodge,mpv,2018,clean vehicle,39590,silver,  3c4pdcgg5jt346413,167655728,georgia,dodge mpv
25000,ford,door,2014,clean vehicle,64146,blue,  1ftfw1et4efc23745,167753855,virginia,ford door
27700,chevrolet,1500,2018,clean vehicle,6654,red,  3gcpcrec2jg473991,167763266,florida,chevrolet 1500
5700,dodge,mpv,2018,clean vehicle,45561,white,  2c4rdgeg9jr237989,167655771,texas,dodge mpv
7300,chevrolet,pk,2010,clean vehicle,149050,black,  1gcsksea1az121133,167753872,georgia,chevrolet pk
13350,gmc,door,2017,clean vehicle,23525,gray,  1gks2gkc3hr326762,167692494,california,gmc door
14600,chevrolet,malibu,2018,clean vehicle,9371,silver,  1g1zd5st5jf191860,167763267,florida,chevrolet malibu
5250,ford,mpv,2017,clean vehicle,63418,black,  2fmpk3j92hbc12542,167656121,texas,ford mpv
10400,dodge,coupe,2009,clean vehicle,107856,orange,  2b3lj54t49h509675,167753874,georgia,dodge coupe
12920,gmc,mpv,2017,clean vehicle,39650,white,  1gks2bkc6hr136280,167692496,california,gmc mpv
31900,chevrolet,1500,2018,clean vehicle,22909,black,  3gcukrec0jg176059,167763273,tennessee,chevrolet 1500
5430,chrysler,wagon,2017,clean vehicle,138650,gray,  2c4rc1cg5hr616095,167656123,texas,chrysler wagon
20700,ford,door,2013,clean vehicle,100757,black,  1ftfw1et7dfa47790,167753916,virginia,ford door
12710,gmc,door,2017,clean vehicle,25747,white,  1gks2gkc6hr328389,167692497,california,gmc door
5200,kia,forte,2018,clean vehicle,46194,blue,  3kpfk4a77je198723,167801757,north carolina,kia forte
16500,buick,encore,2018,clean vehicle,20002,red,  kl4cj1sb6jb688844,167763275,tennessee,buick encore
5210,ford,mpv,2017,clean vehicle,35714,white,  2fmpk3j95hbb73607,167656124,texas,ford mpv
38100,ford,door,2013,clean vehicle,54380,gray,  1ft8w3dt5deb68569,167753923,virginia,ford door
12520,gmc,door,2017,clean vehicle,30114,white,  1gks2gkcxhr328380,167692498,california,gmc door
7300,kia,forte,2018,clean vehicle,38823,black,  3kpfl4a79je272611,167801773,north carolina,kia forte
15000,chevrolet,door,2015,clean vehicle,61578,black,  2gnflhe33f6214023,167763280,ohio,chevrolet door
6180,ford,mpv,2017,clean vehicle,46010,blue,  2fmpk3j84hbc09276,167656125,texas,ford mpv
20800,ford,door,2013,clean vehicle,105510,silver,  1ftfw1efxdfa01008,167753937,virginia,ford door
